WGS_ID	PHX_Version	Auto_QC_Outcome	Warning_Count	Estimated_Coverage	Genome_Length	Assembly_Ratio_(STDev)	#_of_Scaffolds_>500bp	GC_%	Final_Taxa_ID	Taxa_Source	FastANI_Organism	FastANI_%ID	FastANI_%Coverage	ShigaPass_Organism	Kraken2_Trimd	Kraken2_Weighted	MLST_Scheme_1	MLST_1	MLST_Scheme_2	MLST_2	GAMMA_Beta_Lactam_Resistance_Genes	GAMMA_Other_AR_Genes	AMRFinder_Point_Mutations	Hypervirulence_Genes	Plasmid_Incompatibility_Replicons	Auto_QC_Failure_Reason
2025LY00042	2.3.2	PASS	0	58.97	4036465	1.0128 (0.2011)	84	38.95	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.97	95.49		Acinetobacter(94.62%) baumannii(8.59%)	Acinetobacter(99.33%) baumannii(97.95%)	abaumannii(Oxford)	ST195,ST1816-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L,ftsI_A515V			
2025LY00043	2.3.2	PASS	1	56.51	3944601	0.9898 (0.1599)	95	39.12	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.92	96.7		Acinetobacter(96.01%) baumannii(9.13%)	Acinetobacter(99.56%) baumannii(97.44%)	abaumannii(Oxford)	ST1962-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-25_NG_048649.1,blaOXA-225_NG_049521.1_blaOXA-23-like,blaOXA-834_NG_065444.1_blaOXA-51-like	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	gyrA_S81L			
2025LY00044	2.3.2	PASS	2	35.54	3973557	0.9971 (0.0461)	118	39.13	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.99	97.73		Acinetobacter(95.69%) baumannii(10.78%)	Acinetobacter(99.59%) baumannii(98.19%)	abaumannii(Oxford)	ST208,ST1806-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-30_NG_048652.1,blaOXA-225_NG_049521.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like	aac(3)-Ia_NG_047234.1,aac(6')-Ian_NG_047282.1,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,qacEdelta1_NG_048042.1,strA_AB366441,sul1_NG_048082.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L			
2025LY00045	2.3.2	PASS	2	46.12	3965208	0.995 (0.0789)	74	39.04	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.98	96.97		Acinetobacter(95.03%) baumannii(8.67%)	Acinetobacter(99.49%) baumannii(98.11%)	abaumannii(Oxford)	ST195,ST1816-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L,ftsI_A515V			
2025LY00046	2.3.2	PASS	0	62.56	4073035	1.022 (0.3448)	116	39.03	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.75	94.62		Acinetobacter(95.7%) baumannii(8.4%)	Acinetobacter(99.73%) baumannii(98.9%)	abaumannii(Oxford)	ST208,ST1806-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-30_NG_048652.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like	abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	gyrA_S81L,parC_S84L			
2025LY00047	2.3.2	PASS	0	60.56	3997832	1.0031 (0.0493)	85	39.03	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.99	96.83		Acinetobacter(96.29%) baumannii(9.95%)	Acinetobacter(99.95%) baumannii(98.92%)	abaumannii(Oxford)	ST208,ST1806-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-30_NG_048652.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like	aac(3)-Ia_NG_047234.1,aac(6')-Ian_NG_047282.1,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,qacEdelta1_NG_048042.1,strA_AB366441,sul1_NG_048082.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L			
2025LY00048	2.3.2	PASS	0	65.79	3944257	0.9897 (0.1612)	93	38.90	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.94	99.21		Acinetobacter(95.27%) baumannii(7.18%)	Acinetobacter(99.5%) baumannii(98.19%)	abaumannii(Oxford)	ST1962-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-25_NG_048649.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-834_NG_065444.1_blaOXA-51-like	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	gyrA_S81L			
2025LY00049	2.3.2	PASS	2	40.85	3978891	0.9984 (0.0251)	93	39.05	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.96	96.73		Acinetobacter(95.2%) baumannii(8.59%)	Acinetobacter(99.35%) baumannii(97.43%)	abaumannii(Oxford)	ST195,ST1816-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L,ftsI_A515V			
2025LY00050	2.3.2	PASS	2	44.22	3976644	0.9978 (0.034)	86	39.04	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.98	96.96		Acinetobacter(95.11%) baumannii(8.53%)	Acinetobacter(99.49%) baumannii(97.59%)	abaumannii(Oxford)	ST195,ST1816-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L,ftsI_A515V			
2025LY00051	2.3.2	PASS	2	38.87	3970554	0.9963 (0.0579)	101	39.03	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.99	97.65		Acinetobacter(96.44%) baumannii(9.34%)	Acinetobacter(99.95%) baumannii(98.23%)	abaumannii(Oxford)	ST208,ST1806-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-30_NG_048652.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like	aac(3)-Ia_NG_047234.1,aac(6')-Ian_NG_047282.1,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,qacEdelta1_NG_048042.1,strA_AB366441,sul1_NG_048082.1,tet(B)_NG_048161.1	gyrA_S81L,parC_S84L			
2025LY00052R	2.3.2	PASS	0	99.47	4137973	1.0383 (0.5999)	82	38.92	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.91	92.83		Acinetobacter(93.37%) baumannii(6.53%)	Acinetobacter(99.6%) baumannii(98.37%)	abaumannii(Oxford)	ST1962-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-25_NG_048649.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-834_NG_065444.1_blaOXA-51-like	abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,tet(B)_NG_048161.1	gyrA_S81L			
2025LY00053	2.3.2	PASS	2	41.77	3926052	0.9851 (0.2327)	69	38.99	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.85	99.14		Acinetobacter(96.2%) baumannii(9.47%)	Acinetobacter(99.8%) baumannii(99.09%)	abaumannii(Oxford)	ST1788	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-30_NG_048652.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like	aac(6')-Ib-AKT_NG_056043.1,aadA1_3_JQ414041,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,aph(6)-Id_NG_047464.1,catB8_NG_047616.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,tet(B)_NG_048161.1	gyrA_S81L,parC_S84L			
2025LY00054	2.3.2	PASS	2	52.81	3937611	0.988 (0.1873)	87	39.04	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.99	97.64		Acinetobacter(96.29%) baumannii(9.23%)	Acinetobacter(99.95%) baumannii(98.61%)	abaumannii(Oxford)	ST208,ST1806-PARALOG	abaumannii(Pasteur)	ST2	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-30_NG_048652.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like	aac(3)-Ia_NG_047234.1,aac(6')-Ian_NG_047282.1,abaF_CP000521.1,adeC_AF370885.1,amvA_FJ911554.1,aph(6)-Id_NG_047464.1,cxpE_CP008706.1,qacEdelta1_NG_048042.1,strA_AB366441,sul1_NG_048082.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L			
2025LY00055	2.3.2	PASS	2	50.49	3966534	0.9953 (0.0737)	77	39.04	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter baumannii	99.98	97.05		Acinetobacter(95.1%) baumannii(8.32%)	Acinetobacter(99.49%) baumannii(97.73%)	abaumannii(Oxford)	ST195,ST1816-PARALOG	abaumannii(Pasteur)	Novel_allele	Mbl_NC_010410,Zn-dependent_hydrolase_NC_010410,blaADC-73_NG_048678.1,blaOXA-23_NG_049525.1_blaOXA-23-like,blaOXA-66_NG_049806.1_blaOXA-51-like,blaTEM-1D_1_AF188200	aac(6')-Ian_NG_047282.1,abaF_CP000521.1,amvA_FJ911554.1,ant(2'')-Ia_NG_047387.1,ant(3'')-IIa_NG_054646.1,aph(6)-Id_NG_047464.1,armA_NG_047476.1,cxpE_CP008706.1,mph(E)_NG_064660.1,msr(E)_NG_048007.1,strA_AB366441,sul2_NG_051852.1,tet(B)_NG_048161.1	parC_S84L,gyrA_S81L,ftsI_A515V			
