WGS_ID	Parent_Folder	Data_Location	PHX_Version	Minimum_QC_Check	Minimum_QC_Issues	Warnings	Alerts	Raw_Q30_R1_[%]	Raw_Q30_R2_[%]	Total_Raw_[reads]	Paired_Trimmed_[reads]	Total_Trimmed_[reads]	Estimated_Trimmed_Coverage	GC[%]	Scaffolds	Assembly_Length	Assembly_Ratio	Assembly_StDev	Final_Taxa_ID	Taxa_Source	Kraken_ID_Trimmed_Reads_%	Kraken_ID_WtAssembly_%	FastANI_Organism	FastANI_%ID	FastANI_%Coverage	Species_Support_ANI	Primary_MLST_Scheme	Primary_MLST_Source	Primary_MLST	Primary_MLST_Alleles	Secondary_MLST_Scheme	Secondary_MLST_Source	Secondary_MLST	Secondary_MLST_Alleles	AR_Database	Mbl_NC_010410_(beta-lactam)	No_AR_Genes_Found	Zn-dependent_hydrolase_NC_010410_(beta-lactam)	aac(3)-Ia_NG_047234.1_(aminoglycoside)	aac(6')-Ian_NG_047282.1_(aminoglycoside)	aac(6')-Ib-AKT_NG_056043.1_(aminoglycoside)	aadA1_3_JQ414041_(aminoglycoside)	abaF_CP000521.1_(fosfomycin)	adeC_AF370885.1_(efflux)	amvA_FJ911554.1_(efflux)	ant(2'')-Ia_NG_047387.1_(aminoglycoside)	ant(3'')-IIa_NG_054646.1_(aminoglycoside)	aph(6)-Id_NG_047464.1_(aminoglycoside)	armA_NG_047476.1_(aminoglycoside)	blaADC-222_NG_067193.1_(beta-lactam)	blaADC-25_NG_048649.1_(beta-lactam)	blaADC-30_NG_048652.1_(beta-lactam)	blaADC-73_NG_048678.1_(beta-lactam)	blaOXA-225_NG_049521.1_blaOXA-23-like_(beta-lactam)	blaOXA-23_NG_049525.1_blaOXA-23-like_(beta-lactam)	blaOXA-24_NG_049534.1_blaOXA-24-like_(beta-lactam)	blaOXA-398_NG_049687.1_blaOXA-23-like_(beta-lactam)	blaOXA-66_NG_049806.1_blaOXA-51-like_(beta-lactam)	blaOXA-834_NG_065444.1_blaOXA-51-like_(beta-lactam)	blaOXA-95_NG_049836.1_blaOXA-51-like_(beta-lactam)	blaTEM-1D_1_AF188200_(beta-lactam)	catB8_NG_047616.1_(phenicol)	cxpE_CP008706.1_(phenicol)	mph(E)_NG_064660.1_(macrolide)	msr(E)_NG_048007.1_(macrolide-streptogramin)	qacEdelta1_NG_048042.1_(quaternary)	strA_AB366441_(aminoglycoside)	sul1_NG_048082.1_(sulfonamide)	sul2_NG_051852.1_(sulfonamide)	tet(B)_NG_048161.1_(tetracycline)	HV_Database	No_HVGs_Found	Plasmid_Replicon_Database	No_Plasmid_Markers
2025LY00042	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				96.56	92.06	1087514.0	988220.0	1024304.0	58.97	38.95	84.0	4036465.0	1.0128	0.2011	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (94.62) baumannii (8.59).	Acinetobacter (99.33) baumannii (97.95).	Acinetobacter baumannii	99.97	95.49	Acinetobacter_baumannii_GCF_027992645.1_ASM2799264v4.fna.gz	abaumannii(Oxford)	assembly	ST195	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(96).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#22]G		[98NT/99AA/100:#4]G		[100NT/100AA/100:#59]G			[97NT/100AA/100:#1]G		[97NT/98AA/100:#18]G	[100NT/100AA/100:#78]G	[98NT/98AA/100:#13]G	[100NT/100AA/100:#47]G	[100NT/100AA/100:#41]G				[100NT/100AA/100:#17]G		[100NT/100AA/100:#62]G			[100NT/100AA/100:#1]G			[100NT/100AA/100:#67]G		[99NT/100AA/100:#4]G	[100NT/100AA/100:#41]G	[100NT/100AA/100:#41]G		[100NT/100AA/100:#47]G		[100NT/100AA/100:#68]G	[99NT/99AA/100:#64]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00043	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads		96.6	91.99	1016948.0	922550.0	956574.0	56.51	39.12	95.0	3944601.0	0.9898	0.1599	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (96.01) baumannii (9.13).	Acinetobacter (99.56) baumannii (97.44).	Acinetobacter baumannii	99.92	96.7	Acinetobacter_baumannii_GCF_025854155.1_ASM2585415v1.fna.gz	abaumannii(Oxford)	assembly	1962-PARALOG	gltA(1).gyrB(3).gdhB(189).recA(2).cpn60(2).gpi(140).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#3]G		[98NT/99AA/100:#11]G		[100NT/100AA/100:#55]G			[97NT/100AA/100:#37]G	[100NT/100AA/100:#20]G	[97NT/98AA/100:#9]G	[100NT/100AA/100:#62]G	[98NT/98AA/100:#8]G	[100NT/100AA/100:#25]G			[100NT/100AA/100:#17]G			[100NT/100AA/100:#59]G					[100NT/100AA/100:#4]G				[99NT/100AA/100:#11]G				[100NT/100AA/100:#25]G		[100NT/100AA/100:#64]G	[99NT/99AA/100:#50]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00044	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads	Coverage between 30-40x(35.54x)	96.49	87.86	673184.0	577130.0	614984.0	35.54	39.13	118.0	3973557.0	0.9971	0.0461	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (95.69) baumannii (10.78).	Acinetobacter (99.59) baumannii (98.19).	Acinetobacter baumannii	99.99	97.73	Acinetobacter_baumannii_GCF_042140525.1_Hv652.fna.gz	abaumannii(Oxford)	assembly	ST208	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(97).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#11]G		[98NT/99AA/100:#1]G	[100NT/100AA/100:#49]G	[100NT/100AA/100:#7]G			[97NT/100AA/100:#12]G	[100NT/100AA/100:#19]G	[97NT/98AA/100:#13]G			[100NT/100AA/100:#15]G				[100NT/100AA/100:#1]G		[100NT/100AA/100:#16]G				[100NT/100AA/100:#7]G					[99NT/100AA/100:#1]G			[100NT/100AA/100:#49]G	[100NT/100AA/100:#15]G	[100NT/100AA/100:#49]G		[99NT/99AA/100:#15]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00045	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads		96.58	91.86	838350.0	756628.0	786216.0	46.12	39.04	74.0	3965208.0	0.995	0.0789	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (95.03) baumannii (8.67).	Acinetobacter (99.49) baumannii (98.11).	Acinetobacter baumannii	99.98	96.97	Acinetobacter_baumannii_GCF_030704325.1_ASM3070432v1.fna.gz	abaumannii(Oxford)	assembly	ST195	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(96).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#22]G		[98NT/99AA/100:#4]G		[100NT/100AA/100:#54]G			[97NT/100AA/100:#1]G		[97NT/98AA/100:#18]G	[100NT/100AA/100:#69]G	[98NT/98AA/100:#8]G	[100NT/100AA/100:#45]G	[100NT/100AA/100:#5]G				[100NT/100AA/100:#17]G		[100NT/100AA/100:#56]G			[100NT/100AA/100:#1]G			[100NT/100AA/100:#58]G		[99NT/100AA/100:#4]G	[100NT/100AA/100:#5]G	[100NT/100AA/100:#5]G		[100NT/100AA/100:#45]G		[100NT/100AA/100:#59]G	[99NT/99AA/100:#51]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00046	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				96.8	92.14	1162164.0	1057354.0	1095670.0	62.56	39.03	116.0	4073035.0	1.022	0.3448	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (95.7) baumannii (8.4).	Acinetobacter (99.73) baumannii (98.9).	Acinetobacter baumannii	99.75	94.62	Acinetobacter_baumannii_GCF_001887305.1_ASM188730v1.fna.gz	abaumannii(Oxford)	assembly	ST208	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(97).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#16]G		[98NT/99AA/100:#1]G					[97NT/100AA/100:#2]G	[100NT/100AA/100:#45]G	[97NT/98AA/100:#29]G			[100NT/100AA/100:#20]G				[100NT/100AA/100:#1]G			[100NT/100AA/100:#15]G			[100NT/100AA/100:#2]G					[99NT/100AA/100:#1]G				[100NT/100AA/100:#20]G		[100NT/100AA/100:#99]G	[99NT/99AA/100:#20]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00047	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				96.84	93.19	1093492.0	1008380.0	1038551.0	60.56	39.03	85.0	3997832.0	1.0031	0.0493	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (96.29) baumannii (9.95).	Acinetobacter (99.95) baumannii (98.92).	Acinetobacter baumannii	99.99	96.83	Acinetobacter_baumannii_GCF_042140525.1_Hv652.fna.gz	abaumannii(Oxford)	assembly	ST208	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(97).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#11]G		[98NT/99AA/100:#1]G	[100NT/100AA/100:#53]G	[100NT/100AA/100:#6]G			[97NT/100AA/100:#12]G	[100NT/100AA/100:#18]G	[97NT/98AA/100:#13]G			[100NT/100AA/100:#15]G				[100NT/100AA/100:#1]G			[100NT/100AA/100:#19]G			[100NT/100AA/100:#6]G					[99NT/100AA/100:#1]G			[100NT/100AA/100:#53]G	[100NT/100AA/100:#15]G	[100NT/100AA/100:#53]G		[99NT/99AA/100:#15]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00048	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				97.1	94.35	1165248.0	1089864.0	1116155.0	65.79	38.9	93.0	3944257.0	0.9897	0.1612	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (95.27) baumannii (7.18).	Acinetobacter (99.5) baumannii (98.19).	Acinetobacter baumannii	99.94	99.21	Acinetobacter_baumannii_GCF_025854015.1_ASM2585401v1.fna.gz	abaumannii(Oxford)	assembly	1962-PARALOG	gltA(1).gyrB(3).gdhB(189).recA(2).cpn60(2).gpi(140).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#3]G		[98NT/99AA/100:#5]G		[100NT/100AA/100:#52]G			[97NT/100AA/100:#38]G	[100NT/100AA/100:#20]G	[97NT/98AA/100:#9]G	[100NT/100AA/100:#67]G	[98NT/98AA/100:#10]G	[100NT/100AA/100:#24]G	[100NT/100AA/100:#34]G		[100NT/100AA/100:#16]G				[100NT/100AA/100:#58]G				[100NT/100AA/100:#1]G				[99NT/100AA/100:#5]G	[100NT/100AA/100:#34]G	[100NT/100AA/100:#34]G		[100NT/100AA/100:#24]G		[100NT/100AA/100:#68]G	[99NT/99AA/100:#47]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00049	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads		96.64	90.42	755054.0	669962.0	701826.0	40.85	39.05	93.0	3978891.0	0.9984	0.0251	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (95.2) baumannii (8.59).	Acinetobacter (99.35) baumannii (97.43).	Acinetobacter baumannii	99.96	96.73	Acinetobacter_baumannii_GCF_022459055.1_ASM2245905v1.fna.gz	abaumannii(Oxford)	assembly	ST195	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(96).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#22]G		[98NT/99AA/100:#4]G		[100NT/100AA/100:#62]G			[97NT/100AA/100:#1]G		[97NT/98AA/100:#27]G	[100NT/100AA/100:#79]G	[98NT/98AA/100:#8]G	[100NT/100AA/100:#44]G	[100NT/100AA/100:#6]G				[100NT/100AA/100:#59]G		[100NT/100AA/100:#66]G			[100NT/100AA/100:#1]G			[100NT/100AA/100:#70]G		[99NT/100AA/100:#4]G	[100NT/100AA/100:#6]G	[100NT/100AA/100:#6]G		[100NT/100AA/100:#44]G		[100NT/100AA/100:#72]G	[99NT/99AA/100:#56]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00050	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads		96.59	88.37	837918.0	714730.0	763689.0	44.22	39.04	86.0	3976644.0	0.9978	0.034	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (95.11) baumannii (8.53).	Acinetobacter (99.49) baumannii (97.59).	Acinetobacter baumannii	99.98	96.96	Acinetobacter_baumannii_GCF_039518815.1_ASM3951881v2.fna.gz	abaumannii(Oxford)	assembly	ST195	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(96).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#22]G		[98NT/99AA/100:#4]G		[100NT/100AA/100:#59]G			[97NT/100AA/100:#20]G		[97NT/98AA/100:#28]G	[100NT/100AA/100:#79]G	[98NT/98AA/100:#8]G	[100NT/100AA/100:#47]G	[100NT/100AA/100:#5]G				[100NT/100AA/100:#17]G		[100NT/100AA/100:#62]G			[100NT/100AA/100:#2]G			[100NT/100AA/100:#67]G		[99NT/100AA/100:#4]G	[100NT/100AA/100:#5]G	[100NT/100AA/100:#5]G		[100NT/100AA/100:#47]G		[100NT/100AA/100:#68]G	[99NT/99AA/100:#56]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00051	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads	Coverage between 30-40x(38.87x)	96.76	91.44	710184.0	640136.0	665855.0	38.87	39.03	101.0	3970554.0	0.9963	0.0579	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (96.44) baumannii (9.34).	Acinetobacter (99.95) baumannii (98.23).	Acinetobacter baumannii	99.99	97.65	Acinetobacter_baumannii_GCF_042140525.1_Hv652.fna.gz	abaumannii(Oxford)	assembly	ST208	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(97).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#8]G		[98NT/99AA/100:#20]G	[100NT/100AA/100:#61]G	[100NT/100AA/100:#1]G			[97NT/100AA/100:#1]G	[100NT/100AA/100:#27]G	[97NT/98AA/100:#16]G			[100NT/100AA/100:#14]G				[100NT/100AA/100:#9]G			[100NT/100AA/100:#18]G			[100NT/100AA/100:#1]G					[99NT/100AA/100:#12]G			[100NT/100AA/100:#61]G	[100NT/100AA/100:#14]G	[100NT/100AA/100:#61]G		[99NT/99AA/100:#14]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00052R	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS				96.56	94.74	2042174.0	1908140.0	1953271.0	99.47	38.92	82.0	4137973.0	1.0383	0.5999	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (93.37) baumannii (6.53).	Acinetobacter (99.6) baumannii (98.37).	Acinetobacter baumannii	99.91	92.83	Acinetobacter_baumannii_GCF_003948535.2_ASM394853v2.fna.gz	abaumannii(Oxford)	assembly	1962-PARALOG	gltA(1).gyrB(3).gdhB(189).recA(2).cpn60(2).gpi(140).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#2]G		[98NT/99AA/100:#4]G					[97NT/100AA/100:#42]G	[100NT/100AA/100:#22]G	[97NT/98AA/100:#7]G		[98NT/98AA/100:#8]G	[100NT/100AA/100:#27]G	[100NT/100AA/100:#15]G		[100NT/100AA/100:#19]G				[100NT/100AA/100:#59]G				[100NT/100AA/100:#26]G				[99NT/100AA/100:#4]G	[100NT/100AA/100:#15]G	[100NT/100AA/100:#15]G		[100NT/100AA/100:#27]G			[99NT/99AA/100:#27]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00053	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads		96.2	90.38	763190.0	679380.0	710460.0	41.77	38.99	69.0	3926052.0	0.9851	0.2327	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (96.2) baumannii (9.47).	Acinetobacter (99.8) baumannii (99.09).	Acinetobacter baumannii	99.85	99.14	Acinetobacter_baumannii_GCF_023362195.1_ASM2336219v1.fna.gz	abaumannii(Oxford)	assembly	ST1788	gltA(1).gyrB(187).gdhB(3).recA(2).cpn60(2).gpi(99).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#26]G		[98NT/99AA/100:#2]G			[100NT/100AA/100:#54]G	[100NT/100AA/100:#54]G	[97NT/100AA/100:#8]G	[100NT/100AA/100:#19]G	[97NT/98AA/100:#27]G			[100NT/100AA/100:#21]G				[100NT/100AA/100:#3]G			[100NT/100AA/100:#56]G			[100NT/100AA/100:#7]G				[100NT/100AA/100:#54]G	[99NT/100AA/100:#36]G	[100NT/100AA/100:#55]G	[100NT/100AA/100:#55]G		[100NT/100AA/100:#21]G			[99NT/99AA/100:#21]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00054	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads		96.76	92.53	953662.0	868730.0	898959.0	52.81	39.04	87.0	3937611.0	0.988	0.1873	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (96.29) baumannii (9.23).	Acinetobacter (99.95) baumannii (98.61).	Acinetobacter baumannii	99.99	97.64	Acinetobacter_baumannii_GCF_042140525.1_Hv652.fna.gz	abaumannii(Oxford)	assembly	ST208	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(97).rpoD(3)	abaumannii(Pasteur)	assembly	ST2	cpn60(2).fusA(2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#9]G		[98NT/99AA/100:#1]G	[100NT/100AA/100:#53]G	[100NT/100AA/100:#4]G			[97NT/100AA/100:#11]G	[100NT/100AA/100:#22]G	[97NT/98AA/100:#12]G			[100NT/100AA/100:#14]G				[100NT/100AA/100:#1]G			[100NT/100AA/100:#18]G			[100NT/100AA/100:#4]G					[99NT/100AA/100:#1]G			[100NT/100AA/100:#53]G	[100NT/100AA/100:#14]G	[100NT/100AA/100:#53]G		[99NT/99AA/100:#14]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
2025LY00055	/blue/bphl-georgia/tkiryutina/projects/260707-UGA-Training-CODE/phoenix	output	BASE:2.3.2	PASS		<1,000,000 trimmed reads, <1,000,000 raw reads		96.42	87.96	958104.0	833440.0	881567.0	50.49	39.04	77.0	3966534.0	0.9953	0.0737	Acinetobacter baumannii	ANI_REFSEQ	Acinetobacter (95.1) baumannii (8.32).	Acinetobacter (99.49) baumannii (97.73).	Acinetobacter baumannii	99.98	97.05	Acinetobacter_baumannii_GCF_030704325.1_ASM3070432v1.fna.gz	abaumannii(Oxford)	assembly	ST195	gltA(1).gyrB(3).gdhB(3).recA(2).cpn60(2).gpi(96).rpoD(3)	abaumannii(Pasteur)	assembly	Novel_allele	cpn60(2).fusA(~2).gltA(2).pyrG(2).recA(2).rplB(2).rpoB(2)	ResGANNCBI_20260430([XNT/98AA/90]G:[98NT/90]S)	[98NT/98AA/100:#23]G		[98NT/99AA/100:#4]G		[100NT/100AA/100:#57]G			[97NT/100AA/100:#21]G		[97NT/98AA/100:#18]G	[100NT/100AA/100:#72]G	[98NT/98AA/100:#8]G	[100NT/100AA/100:#46]G	[100NT/100AA/100:#5]G				[100NT/100AA/100:#17]G		[100NT/100AA/100:#59]G			[100NT/100AA/100:#2]G			[100NT/100AA/100:#61]G		[99NT/100AA/100:#4]G	[100NT/100AA/100:#5]G	[100NT/100AA/100:#5]G		[100NT/100AA/100:#46]G		[100NT/100AA/100:#62]G	[99NT/99AA/100:#54]G	HyperVirulence_20260507	[-/-]	PF-Replicons_20260430([95NT/60]) 	[-/-]
